Strain	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes
HMWF001	0	0	0.123	0	0.247	0.023	0.083	0	0.037	0	0	0	0.03	0.027	0.033	0.057	0.263	0.317	0.01	0	0.037	0.463	0.033	0.173	0.287	0.007	0.073	0	0.01	0.533	0	21
HMWF003	0	0	0	0.04	0.24	0.083	0.19	0	0	0	0.03	0	0	0.087	0.1	0	0.187	0.547	0	0	0.103	0	0.027	0.727	0	0.09	0	0.01	0.43	0.937	0.12	17
HMWF004	0	0.033	0.01	0	0	0.013	0.09	0.133	0.003	0.033	0.007	0.11	0.193	0.067	0.01	0.087	0.083	0.04	0.017	0.007	0	0.03	0.017	0.223	0	0.067	0.023	0.07	0.19	0.467	0	25
HMWF005	0	0.04	0.01	0.27	0.07	0.04	0.19	0.16	0.017	0.317	0.013	0.347	0.1	0.113	0.253	0.15	0.027	0.303	0.18	0.1	0.047	0.663	0.187	0.357	0.053	0.427	0.003	0.223	0.217	0.933	0.22	30
HMWF006	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0.177	0	0.047	0	0	0	0	0	0.367	0	4
HMWF007	0	0.003	0.21	0.287	0.037	0	0.027	0.12	0.013	0.173	0.333	0.263	0.307	0.23	0.023	0	0.187	0.287	0	0	0.007	0.397	0.013	0.18	0.103	0.257	0	0.137	0.01	0.757	0.233	25
HMWF008	0	0	0.073	0.04	0	0.01	0.25	0.03	0	0	0	0.03	0.19	0.033	0.027	0.043	0.023	0.137	0	0.017	0	0.133	0	0.443	0.01	0.02	0.007	0.007	0.227	0.267	0	21
HMWF009	0.007	0	0.063	0.053	0.003	0.033	0.027	0.023	0.033	0.037	0.027	0.033	0.273	0.013	0.057	0.03	0.023	0.043	0.007	0	0.04	0.12	0	0.43	0	0.087	0.027	0.093	0.06	0.06	0.043	27
HMWF011	0	0.023	0.117	0.007	0.08	0.037	0.043	0.28	0.94	0.303	0	0.207	0.373	0.063	0	0.153	0.033	0.283	0.257	0.093	0.18	0.613	0.01	0.68	0.337	0.173	0.007	0.06	0.057	0.627	0.29	28
HMWF013	0.003	0.01	0.023	0	0.003	0	0	0	0.01	0	0	0.02	0.037	0	0.023	0.003	0.007	0	0	0	0	0.013	0	0	0	0.02	0.01	0	0.013	0.027	0.013	16
HMWF014	0	0.06	0	0	0	0.33	0	0.03	0.017	0	0	0.07	0.047	0.023	0.007	0.097	1.08	0.02	0	0	0.027	0.097	0.007	0.043	0	0.32	0	0	0.09	0.893	0.107	19
HMWF015	0	0	0.25	0.587	0	1.32	0.37	0	0.107	0.023	0	0.817	0.133	1.133	0.003	1.557	1.63	1.103	0	0	0.07	1.107	0.313	0.987	0.14	1.807	0.037	0.003	0.603	1.113	0.243	24
HMWF016	0	0	0	0.863	0	1.153	0.137	0	0	0	0	0.697	0.18	1.11	0.073	1.17	1.1	0.39	0	0	0.09	0.303	0.01	0.91	0.16	1.243	0	0	0.407	0.203	0.293	19
HMWF017	0	0	0	0.083	0	1.017	0.613	0	0	0.003	0	0.617	0.017	0.88	0	1.173	0.967	0.87	0	0	0	0.317	0.223	0.85	0.007	1.303	0	0	0.907	0.957	0.433	18
HMWF018	0	0	0.027	0	0.06	0.097	0	0.023	0	0	0.107	0.01	0.27	0.073	0	0.003	0	0	0.097	0	0.023	0.023	0	0.1	0.003	0.013	0	0	0.05	0.01	0	17
HMWF019	0	0	0.5	0.393	0	0.15	0.227	0	0.01	0.01	0.003	0.023	0.007	0.04	0.15	0.06	0.427	0.063	0	0.003	0	0.007	0.007	0.1	0.063	0.153	0.02	0	0	0.75	0.117	23
HMWF021	0	0	0.017	0	0.073	0	0.043	0.307	0.037	0.293	0.103	0.397	0.34	0	0.143	0	0.057	0.057	0	0.01	0.11	0.48	0.223	0.557	0.227	0.283	0	0.13	0.457	1.473	1.063	23
HMWF022	0	0	0.383	0	0.52	0.11	0.663	0	0	0	0	0	0.37	0	0.003	0.003	0	0.807	0	0	0	0.487	0	1.013	0.883	0.39	0.003	0	0.04	0.99	0.443	16
HMWF023	0	0	0.33	0.223	0.807	0.37	0.66	0	0.003	0	0	0	0.17	0	0.27	0.103	0.173	0.7	0	0	0	0.51	0	0.84	0.787	0.513	0.113	0	0.197	0.933	0.393	19
HMWF025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0.183	0	0	0	0	0	0	0	0	0.167	0	0	0.003	0.007	0.01	6
HMWF026	0	0	0	0	0	0	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	2
HMWF028	0	0	0.717	0	0.817	0	0	0	0	0	0	0.163	0	1.49	0.007	0.7	0.817	0.997	0	0	0.093	0.86	0.683	0.64	0.643	0.073	0	0	0.733	0.863	0.347	17
HMWF029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0.467	0.137	5
HMWF030	0	0	0.873	0	0.377	0	0.8	0	0.003	0	0	0.003	0.09	0	0.043	0.223	0.337	0.7	0	0	0.047	0.65	0	0.877	0.86	1.003	0	0	0.967	0.227	0	17
HMWF031	0	0	0	0	0.187	0.01	0	0.657	0.937	0.287	0.403	0.357	0.177	0	0.013	0.29	0.05	0.283	0	0	0.677	0.727	0.107	1.04	1.253	0	0.197	0	0.65	0.247	0.31	21
HMWF032	0	0	0.007	0	0.013	0.003	0	0	0	0.003	0	0	0	0	0.103	0	0.307	0.017	0	0	0.327	0.28	0.017	0.313	0	0.007	0	0.167	0.217	0.28	0.257	16
HMWF034	0	0	0	0	0.153	0	0.017	0.51	0.727	0.497	0.007	0.62	0.24	0.017	0.013	0	0.08	0.497	0.447	0.37	0.297	1.02	0.09	0.837	0.7	0.203	0	0	0.61	0.827	0.527	23
HMWF035	0	0	0.49	0	0.59	0.273	0.553	0	0.18	0	0	0.06	0	0.027	0.207	0	0.767	0.653	0	0	0.15	0.753	0.547	0.477	0.697	0.54	0	0	0.93	0.56	0.053	19
