M00165	M00166	M00167	M00168	M00169	M00172	M00171	M00170	M00173	M00376	M00375	M00374	M00377	M00579	M00620	M00175	M00531	M00530	M00529	M00528	M00804	M00567	M00357	M00356	M00563	M00358	M00608	M00174	M00346	M00345	M00344	M00378	M00422	M00176	M00596	M00595	M00001	M00002	M00003	M00307	M00009	M00010	M00011	M00004	M00006	M00007	M00580	M00005	M00008	M00308	M00633	M00309	M00012	M00373	M00740	M00532	M00013	M00741	M00632	M00552	M00014	M00630	M00631	M00061	M00081	M00565	M00549	M00554	M00761	M00793	M00794	M00795	M00796	M00797	M00798	M00799	M00800	M00801	M00802	M00803	M00082	M00083	M00085	M00415	M00113	M00086	M00087	M00088	M00089	M00098	M00090	M00091	M00092	M00093	M00130	M00131	M00132	M00094	M00066	M00067	M00099	M00100	M00060	M00063	M00064	M00080	M00055	M00072	M00073	M00074	M00075	M00056	M00070	M00071	M00068	M00069	M00065	M00057	M00058	M00059	M00076	M00077	M00078	M00079	M00095	M00849	M00096	M00364	M00365	M00366	M00367	M00101	M00102	M00103	M00104	M00106	M00107	M00108	M00109	M00110	M00097	M00372	M00371	M00048	M00049	M00050	M00546	M00051	M00052	M00053	M00046	M00020	M00018	M00555	M00021	M00338	M00609	M00017	M00034	M00035	M00368	M00019	M00535	M00570	M00432	M00036	M00016	M00525	M00526	M00527	M00030	M00433	M00031	M00032	M00015	M00028	M00763	M00844	M00845	M00029	M00026	M00045	M00022	M00023	M00024	M00025	M00040	M00042	M00043	M00044	M00533	M00545	M00350	M00037	M00038	M00033	M00027	M00047	M00127	M00125	M00124	M00115	M00622	M00119	M00120	M00572	M00123	M00573	M00577	M00126	M00840	M00841	M00842	M00843	M00121	M00846	M00847	M00129	M00114	M00550	M00112	M00122	M00117	M00128	M00116	M00118	M00140	M00141	M00836	M00133	M00134	M00135	M00136	M00538	M00537	M00419	M00547	M00548	M00551	M00637	M00568	M00569	M00539	M00543	M00544	M00418	M00541	M00540	M00534	M00638	M00624	M00623	M00636	M00810	M00811	M00039	M00137	M00138	M00369	M00370	M00661	M00672	M00673	M00675	M00736	M00674	M00773	M00774	M00775	M00776	M00777	M00778	M00779	M00780	M00823	M00781	M00782	M00783	M00784	M00786	M00789	M00790	M00805	M00808	M00814	M00815	M00785	M00787	M00788	M00819	M00848	M00824	M00825	M00826	M00827	M00828	M00829	M00830	M00831	M00832	M00834	M00833	M00835	M00837	M00838
HMWF001	72.7	50	85.7	100	50	50	14.3	50	63.6	38.5	14.3	46.2	28.6	0	28.6	0	0	0	0	0	0	0	20	0	0	0	0	0	44.4	66.7	50	0	0	33.3	33.3	0	100	100	100	100	87.5	100	80	100	100	100	0	100	75	80	25	0	100	25	36.4	30	0	66.7	100	40	25	0	100	80	33.3	50	66.7	100	0	100	0	0	0	0	0	0	0	0	0	0	100	100	0	0	12.5	100	50	60	25	0	0	0	0	100	0	0	0	0	0	0	0	0	88.9	100	0	8.3	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	25	71.4	66.7	12.5	100	50	50	33.3	0	0	0	0	0	0	0	0	0	0	20	0	90	100	75	33.3	80	100	50	0	66.7	100	0	50	50	33.3	71.4	44.4	75	33.3	100	33.3	100	66.7	50	88.9	66.7	83.3	85.7	0	0	0	42.9	50	80	0	66.7	71.4	40	100	100	71.4	100	66.7	66.7	0	0	0	60	0	0	0	0	0	40	33.3	0	80	71.4	66.7	100	0	80	100	66.7	100	80	80	85.7	50	66.7	66.7	66.7	90	85.7	0	33.3	55.6	20	0	14.3	22.2	0	66.7	0	66.7	50	0	100	0	33.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMWF003	72.7	50	85.7	100	50	50	14.3	25	72.7	23.1	7.1	53.8	28.6	0	28.6	0	0	0	0	0	0	0	20	0	0	0	0	0	44.4	0	25	0	0	0	0	0	90	100	87.5	100	75	100	60	100	100	100	50	100	75	80	0	0	100	16.7	36.4	30	25	0	25	40	12.5	0	40	40	0	33.3	66.7	0	0	100	0	0	0	0	0	0	0	0	0	0	100	100	0	0	12.5	100	66.7	60	50	0	0	0	0	100	0	25	0	0	0	0	0	0	77.8	100	0	16.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	14.3	33.3	75	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	100	100	0	60	100	75	0	66.7	100	100	50	100	16.7	71.4	88.9	75	33.3	100	66.7	100	100	66.7	100	44.4	83.3	85.7	0	0	0	42.9	66.7	80	0	33.3	71.4	40	85.7	100	100	80	100	100	50	0	0	60	0	16.7	0	0	42.9	20	33.3	0	80	100	50	60	0	80	100	83.3	75	60	60	71.4	33.3	50	66.7	66.7	80	71.4	0	33.3	33.3	0	0	28.6	66.7	16.7	22.2	100	66.7	50	0	75	50	33.3	25	66.7	66.7	0	0	0	0	0	25	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7	0	0	0	0	20	0	0	0	0	0
HMWF004	72.7	50	85.7	0	50	25	0	0	45.5	23.1	7.1	38.5	28.6	50	14.3	0	50	50	25	0	0	0	20	0	0	0	0	0	33.3	33.3	50	0	0	33.3	33.3	100	90	100	100	100	62.5	66.7	60	87.5	66.7	100	50	0	50	60	0	0	80	25	27.3	30	25	33.3	50	80	25	0	20	20	33.3	66.7	100	0	0	75	0	0	0	0	0	0	0	0	0	0	100	100	0	0	12.5	100	100	40	75	0	0	0	0	66.7	0	25	0	0	0	0	0	0	77.8	100	40	16.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	33.3	87.5	50	0	25	0	0	0	0	0	0	50	0	0	33.3	16.7	0	0	100	100	75	20	80	66.7	62.5	100	100	40	50	100	0	16.7	57.1	37.5	75	33.3	100	66.7	100	100	66.7	77.8	55.6	66.7	71.4	0	0	0	37.5	100	80	0	66.7	42.9	60	88.9	75	85.7	60	50	66.7	50	0	0	60	25	16.7	0	0	14.3	20	33.3	0	40	85.7	50	100	0	80	75	83.3	100	80	80	100	50	66.7	66.7	66.7	90	85.7	0	50	44.4	0	0	71.4	66.7	16.7	11.1	100	66.7	50	0	25	50	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMWF005	72.7	50	85.7	50	50	50	14.3	50	63.6	23.1	7.1	38.5	28.6	50	14.3	0	50	50	0	0	0	0	20	0	0	0	0	0	55.6	33.3	50	0	0	100	0	0	80	83.3	87.5	100	87.5	100	80	100	100	100	50	100	100	80	0	0	80	8.3	18.2	30	50	0	50	80	25	0	40	40	0	66.7	100	0	100	100	0	0	0	0	0	0	0	0	0	0	100	100	0	0	12.5	100	100	60	50	50	0	0	0	100	0	25	0	0	0	0	0	0	88.9	75	20	33.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	33.3	87.5	50	0	25	0	10	20	0	0	0	0	0	0	0	0	0	0	100	100	100	50	83.3	100	87.5	100	66.7	100	100	100	100	16.7	57.1	66.7	100	33.3	100	66.7	100	100	83.3	100	66.7	83.3	85.7	0	0	0	57.1	66.7	100	0	100	71.4	60	88.9	100	85.7	100	100	100	50	25	0	60	25	16.7	0	0	0	60	33.3	0	60	85.7	83.3	80	0	100	100	100	100	80	80	100	50	66.7	66.7	66.7	60	57.1	0	33.3	44.4	0	0	71.4	77.8	16.7	11.1	100	66.7	50	0	100	50	66.7	50	0	0	0	0	0	0	0	25	28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMWF006	72.7	50	85.7	0	50	25	0	25	60	23.1	7.1	30.8	28.6	50	28.6	0	50	50	0	0	0	0	20	0	0	0	0	0	44.4	33.3	50	0	0	100	0	0	90	100	100	0	87.5	100	80	100	100	100	50	100	100	80	25	0	80	8.3	27.3	30	50	0	25	100	25	0	40	40	0	83.3	66.7	0	75	100	0	0	0	0	0	0	0	0	0	0	66.7	100	0	0	12.5	100	100	60	50	50	0	0	0	100	0	25	0	0	0	0	0	0	77.8	100	60	33.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	33.3	75	50	0	25	0	10	20	0	0	0	0	0	0	0	0	0	0	90	100	100	50	83.3	100	75	100	100	80	100	100	100	16.7	57.1	55.6	100	33.3	75	66.7	80	100	83.3	100	66.7	83.3	85.7	0	0	0	57.1	66.7	100	0	100	71.4	60	88.9	100	100	100	100	100	50	25	0	40	25	16.7	0	0	14.3	60	33.3	0	80	85.7	66.7	40	0	80	100	100	75	60	60	85.7	50	50	66.7	66.7	80	71.4	0	33.3	44.4	0	0	57.1	88.9	16.7	11.1	50	66.7	50	0	75	50	66.7	50	0	0	0	0	0	0	0	25	28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMWF007	72.7	50	85.7	50	50	50	14.3	25	54.5	15.4	7.1	38.5	28.6	50	0	0	50	50	0	0	0	0	20	0	0	0	0	0	55.6	33.3	50	0	0	100	0	0	80	100	87.5	100	87.5	100	80	100	100	100	50	100	75	40	25	0	80	8.3	18.2	30	50	0	25	100	25	0	0	0	0	50	33.3	0	75	100	0	0	0	0	0	0	0	0	0	0	66.7	100	0	0	12.5	100	100	60	50	50	0	0	0	100	0	25	0	0	0	0	0	0	88.9	100	60	41.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	33.3	75	0	0	0	0	10	20	0	0	0	0	0	0	0	0	0	0	90	100	100	50	80	100	75	100	100	100	100	100	100	16.7	57.1	88.9	75	33.3	100	66.7	100	100	66.7	100	66.7	83.3	85.7	0	0	0	57.1	100	80	0	100	71.4	60	88.9	100	85.7	80	100	100	50	25	0	60	25	16.7	0	0	0	60	33.3	0	60	100	100	100	0	80	100	100	100	80	80	100	50	66.7	66.7	66.7	70	85.7	0	33.3	44.4	0	0	100	66.7	0	11.1	100	66.7	50	0	100	50	33.3	50	0	0	0	0	0	0	0	25	28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMWF008	81.8	50	100	100	50	50	14.3	50	54.5	23.1	14.3	38.5	28.6	50	28.6	0	0	0	0	0	0	0	20	0	0	0	0	0	44.4	0	0	0	0	66.7	0	0	90	100	100	0	87.5	100	80	62.5	33.3	75	50	100	50	60	0	0	100	41.7	36.4	20	50	100	50	80	12.5	0	60	80	33.3	0	66.7	0	0	50	0	0	0	0	0	0	0	0	0	0	66.7	100	0	0	12.5	100	100	40	75	0	0	0	0	100	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	33.3	75	0	0	0	0	0	0	0	8.3	0	0	0	0	0	33.3	20	0	100	100	100	20	40	100	75	0	100	80	50	100	0	16.7	71.4	66.7	50	33.3	75	66.7	60	66.7	33.3	88.9	55.6	66.7	71.4	0	0	0	50	100	60	0	100	57.1	60	77.8	0	57.1	60	33.3	33.3	50	25	0	60	25	16.7	0	0	28.6	40	33.3	0	80	85.7	66.7	80	33.3	40	50	66.7	100	80	80	71.4	33.3	50	0	0	50	57.1	0	33.3	22.2	0	0	14.3	33.3	16.7	11.1	100	66.7	50	0	50	50	66.7	0	33.3	33.3	0	0	0	0	0	0	28.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7	25	0	0	0	11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMWF009	81.8	50	100	100	100	75	28.6	25	63.6	61.5	14.3	30.8	28.6	0	14.3	0	50	50	25	0	0	0	0	0	0	0	0	0	55.6	33.3	50	0	0	66.7	0	0	90	100	87.5	100	87.5	100	80	87.5	66.7	100	50	100	100	80	0	0	60	91.7	45.5	20	50	100	50	100	25	0	80	100	0	0	66.7	0	25	100	0	0	0	0	0	0	0	0	0	0	100	100	0	0	12.5	100	75	60	50	0	0	0	0	33.3	0	25	0	0	0	0	0	0	66.7	50	100	16.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	25	12.5	25	14.3	33.3	75	50	0	25	0	0	0	0	8.3	0	0	0	0	0	33.3	20	0	60	100	100	50	83.3	100	87.5	0	100	100	50	100	0	16.7	71.4	25	75	33.3	100	66.7	100	100	66.7	100	66.7	83.3	85.7	0	0	0	42.9	100	100	0	100	71.4	60	88.9	25	100	80	33.3	0	50	0	0	60	0	16.7	0	0	14.3	40	33.3	0	80	85.7	66.7	60	0	100	100	66.7	100	80	80	100	50	66.7	66.7	66.7	80	85.7	0	66.7	44.4	0	0	14.3	66.7	16.7	11.1	100	66.7	50	0	0	50	66.7	50	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMWF010	72.7	50	85.7	50	100	50	14.3	50	63.6	23.1	14.3	46.2	28.6	100	14.3	0	50	50	0	0	0	0	33.3	0	25	0	33.3	0	55.6	33.3	50	0	0	100	0	0	80	100	100	100	87.5	100	80	87.5	66.7	100	50	100	100	60	0	0	80	66.7	27.3	20	50	66.7	50	40	12.5	0	40	20	0	0	66.7	0	0	100	0	0	0	0	0	0	0	0	0	0	100	100	0	0	12.5	100	100	40	50	50	0	0	0	100	0	25	0	0	0	0	0	0	88.9	100	100	41.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	14.3	33.3	87.5	50	0	0	0	0	0	0	8.3	0	0	0	0	0	16.7	20	0	100	100	100	50	83.3	100	87.5	0	100	100	100	100	0	16.7	57.1	50	75	33.3	100	66.7	100	100	83.3	100	66.7	83.3	85.7	0	0	0	57.1	100	80	0	100	57.1	60	88.9	75	100	100	100	66.7	50	0	0	60	0	0	25	0	0	40	33.3	0	80	100	100	100	0	80	100	100	100	80	80	85.7	50	66.7	66.7	66.7	90	100	0	50	44.4	0	0	100	88.9	16.7	22.2	100	66.7	50	0	50	50	66.7	50	0	0	0	0	0	0	0	0	14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.7	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMWF011	72.7	50	85.7	50	50	50	14.3	50	63.6	23.1	7.1	46.2	28.6	50	28.6	0	50	50	0	0	0	0	20	0	0	0	0	0	33.3	33.3	50	0	0	100	0	0	80	83.3	87.5	100	87.5	100	80	100	100	100	50	100	100	80	25	0	80	8.3	27.3	30	50	0	25	80	37.5	0	40	40	0	83.3	100	0	75	100	0	0	0	0	0	0	0	0	0	0	100	100	0	0	12.5	100	100	60	50	0	0	0	0	100	0	25	0	0	0	0	0	0	88.9	100	60	41.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	33.3	87.5	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	50	83.3	100	87.5	100	66.7	100	100	100	100	16.7	71.4	50	75	33.3	100	66.7	100	100	100	88.9	55.6	66.7	71.4	0	0	0	57.1	66.7	80	0	100	71.4	60	88.9	100	100	80	100	66.7	50	25	0	80	75	0	0	0	28.6	60	66.7	0	80	100	66.7	100	0	80	100	83.3	100	80	80	100	50	66.7	66.7	66.7	80	85.7	0	33.3	55.6	0	0	100	88.9	16.7	33.3	100	66.7	50	0	25	50	33.3	50	0	0	0	0	0	0	100	100	14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
