Strain	bp	genes
HMWF001	4588649	4420
HMWF003	4460324	4255
HMWF004	5476832	6021
HMWF005	5872459	6493
HMWF006	6285913	6186
HMWF007	6051858	6348
HMWF008	3802708	4018
HMWF009	3919360	3860
HMWF010	5890869	6195
HMWF011	6024040	5819
HMWF013	4611749	4700
HMWF014	4397736	4521
HMWF015	4658495	4602
HMWF016	4523627	4279
HMWF017	4461702	4205
HMWF018	5805605	5820
HMWF019	6906470	5867
HMWF021	5954435	5610
HMWF022	4238619	4868
HMWF023	4584820	4363
HMWF025	3960983	3764
HMWF026	3392253	3424
HMWF028	4488319	4292
HMWF029	4650641	4374
HMWF030	4758486	4961
HMWF031	10014416	12286
HMWF032	4391151	4100
HMWF034	6119028	5738
HMWF035	4967466	4664
HMWF036	4455344	4269
