Large category	Small category	ID	Name
Energy metabolism	Carbon fixation	M00165	Reductive pentose phosphate cycle (Calvin cycle)
Energy metabolism	Carbon fixation	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
Energy metabolism	Carbon fixation	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Energy metabolism	Carbon fixation	M00168	CAM (Crassulacean acid metabolism), dark
Energy metabolism	Carbon fixation	M00169	CAM (Crassulacean acid metabolism), light
Energy metabolism	Carbon fixation	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
Energy metabolism	Carbon fixation	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type
Energy metabolism	Carbon fixation	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
Energy metabolism	Carbon fixation	M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
Energy metabolism	Carbon fixation	M00376	3-Hydroxypropionate bi-cycle
Energy metabolism	Carbon fixation	M00375	Hydroxypropionate-hydroxybutylate cycle
Energy metabolism	Carbon fixation	M00374	Dicarboxylate-hydroxybutyrate cycle
Energy metabolism	Carbon fixation	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
Energy metabolism	Carbon fixation	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate
Energy metabolism	Carbon fixation	M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
Energy metabolism	Nitrogen metabolism	M00175	Nitrogen fixation, nitrogen => ammonia
Energy metabolism	Nitrogen metabolism	M00531	Assimilatory nitrate reduction, nitrate => ammonia
Energy metabolism	Nitrogen metabolism	M00530	Dissimilatory nitrate reduction, nitrate => ammonia
Energy metabolism	Nitrogen metabolism	M00529	Denitrification, nitrate => nitrogen
Energy metabolism	Nitrogen metabolism	M00528	Nitrification, ammonia => nitrite
Energy metabolism	Nitrogen metabolism	M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate
Energy metabolism	Methane metabolism	M00567	Methanogenesis, CO2 => methane
Energy metabolism	Methane metabolism	M00357	Methanogenesis, acetate => methane
Energy metabolism	Methane metabolism	M00356	Methanogenesis, methanol => methane
Energy metabolism	Methane metabolism	M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane
Energy metabolism	Methane metabolism	M00358	Coenzyme M biosynthesis
Energy metabolism	Methane metabolism	M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate
Energy metabolism	Methane metabolism	M00174	Methane oxidation, methanotroph, methane => formaldehyde
Energy metabolism	Methane metabolism	M00346	Formaldehyde assimilation, serine pathway
Energy metabolism	Methane metabolism	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
Energy metabolism	Methane metabolism	M00344	Formaldehyde assimilation, xylulose monophosphate pathway
Energy metabolism	Methane metabolism	M00378	F420 biosynthesis
Energy metabolism	Methane metabolism	M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA
Energy metabolism	Sulfur metabolism	M00176	Assimilatory sulfate reduction, sulfate => H2S
Energy metabolism	Sulfur metabolism	M00596	Dissimilatory sulfate reduction, sulfate => H2S
Energy metabolism	Sulfur metabolism	M00595	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00002	Glycolysis, core module involving three-carbon compounds
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00009	Citrate cycle (TCA cycle, Krebs cycle)
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00004	Pentose phosphate pathway (Pentose phosphate cycle)
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
Carbohydrate and lipid metabolism	Central carbohydrate metabolism	M00005	PRPP biosynthesis, ribose 5P => PRPP
