Organism,Glu_1c,Glu_2c,Glu_3c,Suc_1c,Suc_2c,Suc_3c,Pro_1c,Pro_2c,Pro_3c,Glu_mean,Glu_se,Suc_mean,Suc_se,Pro_mean,Pro_se
HMWF003,0.9,6.667,7.722,35.574,32.131,39.18,15.455,11.045,9.864,5.096,2.12,35.628,2.035,12.121,1.701
HMWF004,18.429,19.429,20.643,14.161,24.099,22.484,0,0,0,19.5,0.64,20.248,3.079,0,0
HMWF005,7.8,10.2,9.2,52.308,61.758,56.484,14.677,17.186,19.696,9.067,0.696,56.85,2.734,17.186,1.449
HMWF006,47.25,42.5,46.5,8.696,22.435,26.348,66.471,77.059,79.706,45.417,1.474,19.16,5.352,74.412,4.043
HMWF007,19.182,17.636,16.364,306.667,320,361.333,92.245,97.551,104.082,17.727,0.815,329.333,16.456,97.959,3.423
HMWF008,20.533,38.533,33.2,6.857,9.381,5.381,10.509,6.566,0,30.755,5.338,7.206,1.168,5.692,3.065
HMWF009,6.093,6.814,7.07,0.799,1.202,1.138,4.467,9.667,1.658,6.659,0.292,1.046,0.125,5.264,2.346
HMWF010,68,118.8,141.2,17.812,16.375,12.938,56.765,57.353,63.529,109.333,21.655,15.708,1.446,59.216,2.163
HMWF011,12.25,9.833,11.5,512,400,420,194,227,106,11.194,0.714,444,34.487,175.667,36.112
HMWF014,0,4.391,3.504,9.944,10.444,12,12.426,10.511,11.064,2.632,1.341,10.796,0.619,11.334,0.569
HMWF015,NA,NA,NA,NA,NA,NA,115.455,137.727,140,NA,NA,NA,NA,131.061,7.83
HMWF016,11.19,3.462,6.571,312,265.333,273.333,86.341,78.293,40.976,7.074,2.245,283.555,14.409,68.537,13.975
HMWF017,NA,NA,NA,NA,NA,NA,13.862,14.345,28.207,NA,NA,NA,NA,18.805,4.703
HMWF018,5.338,59.248,25.263,60.909,50.152,52.424,200.926,161.111,0,29.95,15.738,54.495,3.273,120.679,61.424
HMWF021,26.188,2.466,41.875,86.207,59.655,110.345,10.878,14.098,13.854,23.51,11.455,85.402,14.638,12.943,1.035
HMWF022,15.104,8.052,9.896,44.069,122.069,140,255.022,264.629,260.262,11.017,2.112,102.046,29.447,259.971,2.777
HMWF023,0,2040,2380,223.333,230,313.333,NA,NA,NA,1473.333,743.176,255.555,28.953,NA,NA
HMWF025,3.794,4.044,4.088,3.556,2.988,4.519,130.952,80.595,72.262,3.975,0.092,3.688,0.447,94.603,18.333
HMWF029,40.857,43.714,43.571,36.543,64.444,43.21,1023.636,2600,0,42.714,0.929,48.066,8.412,1207.879,756.188
HMWF031,51.613,43.548,46.129,248.696,213.043,228.696,18.667,8.923,17.333,47.097,2.378,230.145,10.318,14.974,3.05
HMWF032,NA,NA,NA,NA,NA,NA,23.053,23.474,15.474,NA,NA,NA,NA,20.667,2.599
HMWF034,45.556,40.247,31.975,47.2,48.96,45.92,320.792,554.455,425.743,39.259,3.951,47.36,0.881,433.663,67.569
HMWF036,210.909,270.909,336.364,241,245,242,736.232,831.884,713.043,272.727,36.227,242.667,1.202,760.386,36.37
